NMI,Read Date/Time,kWh,kW,Kvarh,Kvar,kVA,PF,E1,E1F,Q1
64077279510,01.05.2015 00:00:00,15.185,60.740,10.910,43.640,74.792,0.812,15.185,15.185,10.910
64077279510,01.05.2015 00:15:00,15.185,60.740,10.910,43.640,74.792,0.812,15.185,15.185,10.910
64077279510,01.05.2015 00:30:00,11.055,44.220,8.230,32.920,55.128,0.802,11.055,11.055,8.230
64077279510,01.05.2015 00:45:00,11.055,44.220,8.230,32.920,55.128,0.802,11.055,11.055,8.230
64077279510,01.05.2015 01:00:00,12.025,48.100,7.225,28.900,56.114,0.857,12.025,12.025,7.225
64077279510,01.05.2015 01:15:00,12.025,48.100,7.225,28.900,56.114,0.857,12.025,12.025,7.225
64077279510,01.05.2015 01:30:00,12.785,51.140,9.930,39.720,64.753,0.790,12.785,12.785,9.930
64077279510,01.05.2015 01:45:00,12.785,51.140,9.930,39.720,64.753,0.790,12.785,12.785,9.930
64077279510,01.05.2015 02:00:00,15.870,63.480,10.190,40.760,75.439,0.841,15.870,15.870,10.190
64077279510,01.05.2015 02:15:00,15.870,63.480,10.190,40.760,75.439,0.841,15.870,15.870,10.190
64077279510,01.05.2015 02:30:00,13.785,55.140,9.200,36.800,66.292,0.832,13.785,13.785,9.200
64077279510,01.05.2015 02:45:00,13.785,55.140,9.200,36.800,66.292,0.832,13.785,13.785,9.200
64077279510,01.05.2015 03:00:00,13.985,55.940,7.400,29.600,63.289,0.884,13.985,13.985,7.400
64077279510,01.05.2015 03:15:00,13.985,55.940,7.400,29.600,63.289,0.884,13.985,13.985,7.400
64077279510,01.05.2015 03:30:00,18.190,72.760,11.770,47.080,86.663,0.840,18.190,18.190,11.770
64077279510,01.05.2015 03:45:00,18.190,72.760,11.770,47.080,86.663,0.840,18.190,18.190,11.770
64077279510,01.05.2015 04:00:00,16.495,65.980,11.560,46.240,80.570,0.819,16.495,16.495,11.560
64077279510,01.05.2015 04:15:00,16.495,65.980,11.560,46.240,80.570,0.819,16.495,16.495,11.560
64077279510,01.05.2015 04:30:00,9.550,38.200,6.110,24.440,45.349,0.842,9.550,9.550,6.110
64077279510,01.05.2015 04:45:00,9.550,38.200,6.110,24.440,45.349,0.842,9.550,9.550,6.110
64077279510,01.05.2015 05:00:00,7.050,28.200,3.050,12.200,30.726,0.918,7.050,7.050,3.050
64077279510,01.05.2015 05:15:00,7.050,28.200,3.050,12.200,30.726,0.918,7.050,7.050,3.050
64077279510,01.05.2015 05:30:00,7.105,28.420,3.230,12.920,31.219,0.910,7.105,7.105,3.230
64077279510,01.05.2015 05:45:00,7.105,28.420,3.230,12.920,31.219,0.910,7.105,7.105,3.230
64077279510,01.05.2015 06:00:00,7.010,28.040,2.825,11.300,30.231,0.928,7.010,7.010,2.825
64077279510,01.05.2015 06:15:00,7.010,28.040,2.825,11.300,30.231,0.928,7.010,7.010,2.825
64077279510,01.05.2015 06:30:00,7.135,28.540,3.200,12.800,31.279,0.912,7.135,7.135,3.200
64077279510,01.05.2015 06:45:00,7.135,28.540,3.200,12.800,31.279,0.912,7.135,7.135,3.200
64077279510,01.05.2015 07:00:00,6.840,27.360,3.030,12.120,29.924,0.914,6.840,6.840,3.030
64077279510,01.05.2015 07:15:00,6.840,27.360,3.030,12.120,29.924,0.914,6.840,6.840,3.030
64077279510,01.05.2015 07:30:00,14.920,59.680,4.135,16.540,61.930,0.964,14.920,14.920,4.135
64077279510,01.05.2015 07:45:00,14.920,59.680,4.135,16.540,61.930,0.964,14.920,14.920,4.135
64077279510,01.05.2015 08:00:00,23.350,93.400,12.120,48.480,105.232,0.888,23.350,23.350,12.120
64077279510,01.05.2015 08:15:00,23.350,93.400,12.120,48.480,105.232,0.888,23.350,23.350,12.120
64077279510,01.05.2015 08:30:00,22.375,89.500,12.830,51.320,103.170,0.868,22.375,22.375,12.830
64077279510,01.05.2015 08:45:00,22.375,89.500,12.830,51.320,103.170,0.868,22.375,22.375,12.830
64077279510,01.05.2015 09:00:00,19.615,78.460,11.705,46.820,91.368,0.859,19.615,19.615,11.705
64077279510,01.05.2015 09:15:00,19.615,78.460,11.705,46.820,91.368,0.859,19.615,19.615,11.705
64077279510,01.05.2015 09:30:00,15.785,63.140,9.200,36.800,73.081,0.864,15.785,15.785,9.200
64077279510,01.05.2015 09:45:00,15.785,63.140,9.200,36.800,73.081,0.864,15.785,15.785,9.200
64077279510,01.05.2015 10:00:00,14.210,56.840,6.040,24.160,61.762,0.920,14.210,14.210,6.040
64077279510,01.05.2015 10:15:00,14.210,56.840,6.040,24.160,61.762,0.920,14.210,14.210,6.040
64077279510,01.05.2015 10:30:00,21.065,84.260,11.250,45.000,95.524,0.882,21.065,21.065,11.250
64077279510,01.05.2015 10:45:00,21.065,84.260,11.250,45.000,95.524,0.882,21.065,21.065,11.250
64077279510,01.05.2015 11:00:00,21.010,84.040,10.785,43.140,94.466,0.890,21.010,21.010,10.785
64077279510,01.05.2015 11:15:00,21.010,84.040,10.785,43.140,94.466,0.890,21.010,21.010,10.785
64077279510,01.05.2015 11:30:00,21.190,84.760,10.970,43.880,95.445,0.888,21.190,21.190,10.970
64077279510,01.05.2015 11:45:00,21.190,84.760,10.970,43.880,95.445,0.888,21.190,21.190,10.970
64077279510,01.05.2015 12:00:00,22.280,89.120,12.225,48.900,101.654,0.877,22.280,22.280,12.225
64077279510,01.05.2015 12:15:00,22.280,89.120,12.225,48.900,101.654,0.877,22.280,22.280,12.225
64077279510,01.05.2015 12:30:00,25.560,102.240,13.535,54.140,115.690,0.884,25.560,25.560,13.535
64077279510,01.05.2015 12:45:00,25.560,102.240,13.535,54.140,115.690,0.884,25.560,25.560,13.535
64077279510,01.05.2015 13:00:00,27.450,109.800,13.350,53.400,122.097,0.899,27.450,27.450,13.350
64077279510,01.05.2015 13:15:00,27.450,109.800,13.350,53.400,122.097,0.899,27.450,27.450,13.350
64077279510,01.05.2015 13:30:00,24.080,96.320,13.490,53.960,110.405,0.872,24.080,24.080,13.490
64077279510,01.05.2015 13:45:00,24.080,96.320,13.490,53.960,110.405,0.872,24.080,24.080,13.490
64077279510,01.05.2015 14:00:00,26.110,104.440,12.870,51.480,116.438,0.897,26.110,26.110,12.870
64077279510,01.05.2015 14:15:00,26.110,104.440,12.870,51.480,116.438,0.897,26.110,26.110,12.870
64077279510,01.05.2015 14:30:00,26.590,106.360,12.975,51.900,118.347,0.899,26.590,26.590,12.975
64077279510,01.05.2015 14:45:00,26.590,106.360,12.975,51.900,118.347,0.899,26.590,26.590,12.975
64077279510,01.05.2015 15:00:00,26.750,107.000,11.910,47.640,117.126,0.914,26.750,26.750,11.910
64077279510,01.05.2015 15:15:00,26.750,107.000,11.910,47.640,117.126,0.914,26.750,26.750,11.910
64077279510,01.05.2015 15:30:00,24.680,98.720,12.270,49.080,110.247,0.895,24.680,24.680,12.270
64077279510,01.05.2015 15:45:00,24.680,98.720,12.270,49.080,110.247,0.895,24.680,24.680,12.270
64077279510,01.05.2015 16:00:00,23.550,94.200,13.000,52.000,107.599,0.875,23.550,23.550,13.000
64077279510,01.05.2015 16:15:00,23.550,94.200,13.000,52.000,107.599,0.875,23.550,23.550,13.000
64077279510,01.05.2015 16:30:00,21.055,84.220,6.430,25.720,88.060,0.956,21.055,21.055,6.430
64077279510,01.05.2015 16:45:00,21.055,84.220,6.430,25.720,88.060,0.956,21.055,21.055,6.430
64077279510,01.05.2015 17:00:00,21.150,84.600,8.895,35.580,91.777,0.922,21.150,21.150,8.895
64077279510,01.05.2015 17:15:00,21.150,84.600,8.895,35.580,91.777,0.922,21.150,21.150,8.895
64077279510,01.05.2015 17:30:00,21.895,87.580,12.575,50.300,100.997,0.867,21.895,21.895,12.575
64077279510,01.05.2015 17:45:00,21.895,87.580,12.575,50.300,100.997,0.867,21.895,21.895,12.575
64077279510,01.05.2015 18:00:00,22.510,90.040,12.050,48.200,102.130,0.882,22.510,22.510,12.050
64077279510,01.05.2015 18:15:00,22.510,90.040,12.050,48.200,102.130,0.882,22.510,22.510,12.050
64077279510,01.05.2015 18:30:00,19.710,78.840,11.510,46.040,91.299,0.864,19.710,19.710,11.510
64077279510,01.05.2015 18:45:00,19.710,78.840,11.510,46.040,91.299,0.864,19.710,19.710,11.510
64077279510,01.05.2015 19:00:00,19.000,76.000,10.080,40.320,86.033,0.883,19.000,19.000,10.080
64077279510,01.05.2015 19:15:00,19.000,76.000,10.080,40.320,86.033,0.883,19.000,19.000,10.080
64077279510,01.05.2015 19:30:00,19.575,78.300,11.345,45.380,90.500,0.865,19.575,19.575,11.345
64077279510,01.05.2015 19:45:00,19.575,78.300,11.345,45.380,90.500,0.865,19.575,19.575,11.345
64077279510,01.05.2015 20:00:00,17.960,71.840,11.590,46.360,85.500,0.840,17.960,17.960,11.590
64077279510,01.05.2015 20:15:00,17.960,71.840,11.590,46.360,85.500,0.840,17.960,17.960,11.590
64077279510,01.05.2015 20:30:00,15.295,61.180,9.550,38.200,72.127,0.848,15.295,15.295,9.550
64077279510,01.05.2015 20:45:00,15.295,61.180,9.550,38.200,72.127,0.848,15.295,15.295,9.550
64077279510,01.05.2015 21:00:00,14.495,57.980,8.745,34.980,67.715,0.856,14.495,14.495,8.745
64077279510,01.05.2015 21:15:00,14.495,57.980,8.745,34.980,67.715,0.856,14.495,14.495,8.745
64077279510,01.05.2015 21:30:00,15.065,60.260,10.175,40.700,72.717,0.829,15.065,15.065,10.175
64077279510,01.05.2015 21:45:00,15.065,60.260,10.175,40.700,72.717,0.829,15.065,15.065,10.175
64077279510,01.05.2015 22:00:00,16.735,66.940,10.175,40.700,78.342,0.854,16.735,16.735,10.175
64077279510,01.05.2015 22:15:00,16.735,66.940,10.175,40.700,78.342,0.854,16.735,16.735,10.175
